Subsystem,Quantity,Unit,Direct Cost,Contract Cost,Contract Cost Per Unit
Retail core and shell,80000,GSF,22959855.375306994,29503414.157269485,368.79267696586857
Structured parking,300,spaces,12118741.764705883,15572583.16764706,51908.61055882353
Surface/on-street parking,450,spaces,3658000,4700530,10445.62222222222
Site infrastructure,10,acres,11215500,14411917.5,1441191.75
Elevators,8,cars,2937999.9999999995,3775329.999999999,471916.2499999999
MEP/FP/low voltage,680000,constructed GSF,64843315,83323659.77499999,122.5347937867647
